9.1521e-05	14.513	1.1212
7.7976e-05	14.534	0.36946
4.0061e-05	14.555	0.23726
2.2943e-05	14.576	0.80385
4.4456e-05	14.597	-1.1411
3.3227e-05	14.618	-3.1361
7.0467e-05	14.638	2.4918
5.607e-05	14.659	-2.7896
8.4334e-05	14.68	1.4975
4.0744e-05	14.701	0.92042
6.6251e-05	14.722	0.41237
9.7283e-05	14.743	0.58752
4.2256e-05	14.764	-0.65831
6.7877e-05	14.785	0.18667
9.431e-05	14.806	-2.3486
3.9865e-05	14.827	0.58014
2.1203e-05	14.848	1.5142
3.7802e-05	14.869	-2.7057
6.3824e-05	14.89	2.5908
7.7445e-05	14.911	-2.3193
6.0472e-05	14.932	-0.94302
2.2107e-05	14.953	0.83657
5.438e-05	14.974	-1.7148
4.6732e-05	14.994	-0.35229
5.1689e-05	15.015	3.0249
2.9199e-05	15.036	0.4056
4.6985e-05	15.057	-0.073062
1.7879e-05	15.078	-1.5266
1.7908e-05	15.099	-2.1228
3.9719e-05	15.12	2.6052
0.00011725	15.141	2.2976
2.2212e-05	15.162	-1.0435
6.1549e-06	15.183	1.7077
2.7694e-05	15.204	-2.6425
4.7633e-05	15.225	-1.7844
6.0891e-05	15.246	-1.6984
1.2406e-05	15.267	-0.41681
7.9741e-05	15.288	-0.81593
3.4584e-05	15.309	2.943
6.6964e-05	15.33	-3.1328
3.2015e-05	15.35	-1.613
2.1003e-05	15.371	-2.0716
5.5301e-05	15.392	1.9231
6.1151e-05	15.413	2.7476
0.00011588	15.434	-2.8189
0.0001031	15.455	1.7746
5.5324e-05	15.476	1.5643
5.8719e-05	15.497	2.1343
7.8264e-05	15.518	1.5844
0.00010091	15.539	0.74633
6.4184e-05	15.56	0.28033
0.00010377	15.581	-0.1656
7.6828e-05	15.602	-0.38522
3.5129e-05	15.623	0.050393
9.7015e-05	15.644	-1.6951
5.5887e-05	15.665	-0.49723
3.7472e-05	15.686	-1.1417
6.5624e-05	15.707	-0.96365
9.8781e-05	15.727	-1.4503
8.5324e-05	15.748	-1.9742
3.0512e-05	15.769	-0.4489
8.5398e-05	15.79	-2.8493
1.6381e-05	15.811	1.5619
8.4559e-05	15.832	2.257
7.4425e-05	15.853	-2.5919
3.1157e-05	15.874	1.6622
6.2663e-05	15.895	2.628
7.027e-05	15.916	2.5745
5.7293e-05	15.937	1.3428
5.6638e-05	15.958	2.0363
3.6572e-05	15.979	1.0654
6.7519e-05	16	-2.9201
5.2966e-06	16.021	-1.3131
5.6876e-05	16.042	-1.8883
5.1275e-05	16.063	-1.4321
3.2851e-05	16.083	-0.96547
3.8099e-05	16.104	2.1099
3.5256e-05	16.125	-2.6727
1.6257e-05	16.146	-1.2643
1.8653e-05	16.167	3.0336
5.091e-05	16.188	1.0082
5.24e-05	16.209	1.3832
4.4159e-05	16.23	-1.6328
3.9481e-05	16.251	-0.053083
1.8409e-05	16.272	-2.0071
4.5621e-05	16.293	3.1041
2.5338e-05	16.314	3.1184
7.6233e-05	16.335	2.3846
6.6629e-05	16.356	2.5484
3.4873e-05	16.377	0.39003
2.2391e-05	16.398	1.1559
3.6105e-05	16.419	1.8269
6.1208e-05	16.439	-0.21702
3.8833e-05	16.46	-2.7253
3.5391e-05	16.481	0.24253
3.137e-05	16.502	0.8628
2.2755e-06	16.523	-0.091019
6.7526e-05	16.544	0.51217
7.3273e-05	16.565	-1.854
5.2685e-05	16.586	-1.1047
2.4308e-05	16.607	0.19195
6.5132e-05	16.628	-1.3133
5.828e-05	16.649	-2.1042
4.8234e-05	16.67	-0.14828
3.4705e-05	16.691	-1.2329
4.4876e-05	16.712	-2.1024
3.5565e-05	16.733	1.7068
4.8893e-06	16.754	2.6221
3.2651e-06	16.775	0.058341
7.4753e-05	16.795	2.8089
2.1546e-05	16.816	-0.85912
3.5792e-05	16.837	1.9341
3.9623e-05	16.858	0.51123
2.4808e-05	16.879	-2.7028
2.041e-05	16.9	0.83259
2.441e-05	16.921	-2.6784
1.718e-05	16.942	1.4998
5.9658e-05	16.963	-2.8012
6.8697e-05	16.984	-3.0494
3.4231e-05	17.005	2.8143
2.5772e-05	17.026	2.2966
5.1356e-05	17.047	-2.7559
3.2664e-05	17.068	2.3614
1.3995e-05	17.089	0.88221
8.011e-06	17.11	1.6651
4.4297e-05	17.131	1.989
6.2684e-05	17.152	1.2864
4.8121e-05	17.172	1.8766
3.3946e-05	17.193	0.33477
3.9391e-05	17.214	0.507
7.3224e-05	17.235	-0.081029
1.0056e-05	17.256	-1.8177
4.4837e-05	17.277	-0.23617
2.994e-05	17.298	1.4298
3.9076e-05	17.319	-1.0083
1.9242e-05	17.34	2.3892
5.5633e-05	17.361	-0.521
1.3553e-05	17.382	0.0017655
2.6884e-05	17.403	-2.5558
3.8905e-05	17.424	-2.7308
3.074e-05	17.445	-2.8653
1.5341e-05	17.466	1.3726
4.077e-05	17.487	-2.8233
1.5852e-05	17.508	-2.9119
4.0817e-05	17.528	0.1635
7.4303e-06	17.549	-0.91082
1.4272e-05	17.57	2.7993
3.4653e-05	17.591	-1.3253
5.1359e-05	17.612	-1.708
2.0515e-05	17.633	-1.6691
6.0342e-05	17.654	-1.6192
1.8693e-05	17.675	2.794
